label,review
0,i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani
0,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches
0,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate
0,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew
1,nogs jews and dykes how enriching
0,guilty until proven innocent unless you are a jew a nigger or a lover of both
0,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters
0,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret
1,all of my exes were cute but they were hoes i guess i only attract fly looking thots
0,condoning drug use not kike at all thanks for that disclosure
0,lol what a stupid kike
0,why does anyone care what the albino nigger has to say
1,that was just a photo look up rhyan moody she was killed on thanksgiving by an illegal spic
0,this sounds like a kike national socialist
1,i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though
0,a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her
1,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall
1,sex be so good a bitch be slow stroking and crying
1,bitches be so fine and got the nerve to like niggas
1,y is big baby davis a faggot on shameless doe
1,niggas cry and complain so much i am starting to think you all the real females in the relationship
0,you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot
1,it was way better than sonoma if you remember your redneck jesus won the glenn also
0,the flag of the maga fags in all it glory it comes with nigger red shoes too
0,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life
0,just another dumb nigger
0,have you proven your gender yet nice profile pic by the way oh im a nigger too
0,they are going to figure out a way to kike bitcoin
0,the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike
0,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol
0,white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler
0,you first kike
0,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation
0,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight
0,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it
0,yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you
0,lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum
1,reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families
0,damn dat wetback needs to strap in those moobs
0,i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night
1,has stupid rich hoe
1,bro before hoe
1,ion hang wit bitches who niggas are insecure
0,you niggers need to sack up and tweet nigger
0,that is the muzrat strategy in every country they infest
1,dm to paypal me faggots cash fag paypig cash master cash slave
0,sorry about the nigger comment but even blacks do not like niggers
0,nd only <percent> nigger but jewish culture should be taken into account here thanks jews
0,this nigger calling me juicy lips over the phone wtf
1,sup faggot suck my two inch cock thru my old navy jeans
0,i hate fucking niggers
0,you all niggers are cancers
1,bitches always worrying about me cough cough dumb hoe
1,happy bday slut whatchu on for the day
0,man i hate niggers
0,hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage
1,then hoes stole my choreo and still managed to make it look bad and lose with it lmfao
1,tfw jews want to ban p*rn <censored> tfw now i agree with jews tfw i change my ideals get owned jews
1,microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day
1,im wearing white pants and i look like a faggot
0,god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga
0,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick
0,god made the niggers he made them in the night he made them in a hurry and forgot to paint them white
1,no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay
0,you are next kike
0,the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their c3 status
0,mudshark and black diversity
0,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm
0,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power
